run,strategy,stitch_id,met_slo,utility,latency_ms,payload_mb,link_mb,hop_count,acc,profile
389,Best-Acc,1,False,,8990.643218563826,1.58056640625,22.916015625,107,95.16,fast
389,Lowest-Latency,3,False,,6767.0396110137635,1.19775390625,12.55029296875,78,94.11,fast
389,Random,5,False,,8714.400083751396,1.38916015625,16.12841796875,95,93.38,fast
389,Round-Robin,5,False,,9335.731168117956,1.38916015625,17.16015625,103,93.38,fast
390,SLO-first,4,False,-100.68303197191514,7258.687997993938,1.05419921875,15.8984375,93,93.86,fast
390,Best-Acc,1,False,,11213.217372543257,1.58056640625,28.0810546875,132,95.16,fast
390,Lowest-Latency,4,False,,6777.501046929184,1.05419921875,13.09912109375,95,93.86,fast
390,Random,2,False,,13756.912440464064,1.77197265625,34.21484375,165,94.99,fast
390,Round-Robin,6,False,,8565.043044704677,1.24560546875,17.61328125,113,94.59,fast
391,SLO-first,4,False,-103.87139633024483,7486.428309303203,1.05419921875,15.94775390625,74,93.86,fast
391,Best-Acc,1,False,,8358.220603102263,1.58056640625,16.66845703125,90,95.16,fast
391,Lowest-Latency,3,False,,7571.355040657771,1.19775390625,13.556640625,82,94.11,fast
391,Random,5,False,,10228.570651789594,1.38916015625,21.2353515625,104,93.38,fast
391,Round-Robin,7,False,,7193.7189493396945,1.24560546875,14.724609375,70,94.56,fast
392,SLO-first,6,False,-90.12265545725919,6504.896818375656,1.24560546875,12.4814453125,68,94.59,fast
392,Best-Acc,1,False,,9035.993361393565,1.58056640625,19.46923828125,87,95.16,fast
392,Lowest-Latency,4,False,,5853.659462304484,1.05419921875,11.06396484375,61,93.86,fast
392,Random,5,False,,7826.12658099568,1.38916015625,13.91552734375,84,93.38,fast
392,Round-Robin,1,False,,9656.946255504796,1.58056640625,17.96630859375,101,95.16,fast
393,SLO-first,4,False,-95.60216721119488,6895.76908651392,1.05419921875,13.65234375,72,93.86,fast
393,Best-Acc,1,False,,10240.248537994641,1.58056640625,30.37353515625,119,95.16,fast
393,Lowest-Latency,4,False,,5561.018274766451,1.05419921875,10.80078125,62,93.86,fast
393,Random,4,False,,6799.594849930826,1.05419921875,11.7412109375,68,93.86,fast
393,Round-Robin,2,False,,13235.568341537037,1.77197265625,35.13916015625,149,94.99,fast
394,SLO-first,4,False,-90.4435680970907,6527.297721220764,1.05419921875,12.810546875,65,93.86,fast
394,Best-Acc,1,False,,10339.524308893187,1.58056640625,21.11572265625,105,95.16,fast
394,Lowest-Latency,7,False,,6846.527689626436,1.24560546875,12.05810546875,77,94.56,fast
394,Random,2,False,,12080.169217522996,1.77197265625,24.49365234375,124,94.99,fast
394,Round-Robin,3,False,,8531.684459684975,1.19775390625,15.09375,90,94.11,fast
395,SLO-first,7,False,-96.16126465102478,6936.2046179303425,1.24560546875,11.81591796875,79,94.56,fast
395,Best-Acc,1,False,,10491.219741313182,1.58056640625,19.55419921875,108,95.16,fast
395,Lowest-Latency,4,False,,7257.936385098948,1.05419921875,14.44189453125,75,93.86,fast
395,Random,2,False,,13690.321531022844,1.77197265625,27.35888671875,136,94.99,fast
395,Round-Robin,4,False,,6984.440070710392,1.05419921875,14.03955078125,76,93.86,fast
396,SLO-first,6,False,-94.2222382464338,6797.724160459557,1.24560546875,12.67138671875,73,94.59,fast
396,Best-Acc,1,False,,10166.723367562878,1.58056640625,24.57421875,128,95.16,fast
396,Lowest-Latency,4,False,,6005.165442017128,1.05419921875,9.94384765625,64,93.86,fast
396,Random,3,False,,10553.762509735445,1.19775390625,24.734375,136,94.11,fast
396,Round-Robin,5,False,,8431.09450979257,1.38916015625,17.88134765625,102,93.38,fast
397,SLO-first,4,False,-74.80667943036555,5410.377102168967,1.05419921875,9.75537109375,60,93.86,fast
397,Best-Acc,1,False,,9773.48916034288,1.58056640625,19.037109375,98,95.16,fast
397,Lowest-Latency,4,False,,5997.1774891796795,1.05419921875,11.09521484375,63,93.86,fast
397,Random,1,False,,11293.704061692331,1.58056640625,21.91552734375,115,95.16,fast
397,Round-Robin,6,False,,8350.235432862492,1.24560546875,15.7158203125,89,94.59,fast
398,SLO-first,7,False,-96.71077954260085,6975.455681614346,1.24560546875,14.9189453125,74,94.56,fast
